Five-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
14655,21,5,3
14656,22,6,2
14661,18,2,6
14662,19,3,5
14663,20,4,4
14664,21,5,3
14665,22,6,2
14666,23,7,1
15111,9,1,7
15112,10,2,6
15113,11,3,5
15114,12,4,4
15115,13,5,3
15116,14,6,2
15121,10,2,6
15122,11,3,5
15123,12,4,4
15124,13,5,3
15125,14,6,2
15126,15,7,1
15131,11,3,5
15132,12,4,4
15133,13,5,3
15134,14,6,2
15135,15,7,1
15136,16,0,0
15141,12,4,4
15142,13,5,3
15143,14,6,2
15144,15,7,1
15145,16,0,0
15146,17,1,7
15151,13,5,3
15152,14,6,2
15153,15,7,1
15154,16,0,0
15155,17,1,7
15156,18,2,6
15161,14,6,2
15162,15,7,1
15163,16,0,0
15164,17,1,7
15165,18,2,6
15166,19,3,5
15211,10,2,6
15212,11,3,5
15213,12,4,4
15214,13,5,3
15215,14,6,2
15216,15,7,1
15221,11,3,5
15222,12,4,4
15223,13,5,3
15224,14,6,2
15225,15,7,1
15226,16,0,0
15231,12,4,4
15232,13,5,3
15233,14,6,2
15234,15,7,1
15235,16,0,0
15236,17,1,7
15241,13,5,3
15242,14,6,2
15243,15,7,1
15244,16,0,0
15245,17,1,7
15246,18,2,6
15251,14,6,2
15252,15,7,1
15253,16,0,0
15254,17,1,7
15255,18,2,6
15256,19,3,5
15261,15,7,1
15262,16,0,0
15263,17,1,7
15264,18,2,6
15265,19,3,5
15266,20,4,4
15311,11,3,5
15312,12,4,4
15313,13,5,3
15314,14,6,2
15315,15,7,1
15316,16,0,0
15321,12,4,4
15322,13,5,3
15323,14,6,2
15324,15,7,1
15325,16,0,0
15326,17,1,7
15331,13,5,3
15332,14,6,2
15333,15,7,1
15334,16,0,0
15335,17,1,7
15336,18,2,6
15341,14,6,2
15342,15,7,1
15343,16,0,0
15344,17,1,7
15345,18,2,6
15346,19,3,5
15351,15,7,1
15352,16,0,0
15353,17,1,7
15354,18,2,6
15355,19,3,5
15356,20,4,4
15361,16,0,0
15362,17,1,7
15363,18,2,6
15364,19,3,5
15365,20,4,4
15366,21,5,3
15411,12,4,4
15412,13,5,3
15413,14,6,2
15414,15,7,1
15415,16,0,0
15416,17,1,7
15421,13,5,3
15422,14,6,2
15423,15,7,1
15424,16,0,0
15425,17,1,7
15426,18,2,6
15431,14,6,2
15432,15,7,1
15433,16,0,0
15434,17,1,7
15435,18,2,6
15436,19,3,5
15441,15,7,1
15442,16,0,0
15443,17,1,7
15444,18,2,6
15445,19,3,5
15446,20,4,4
15451,16,0,0
15452,17,1,7
15453,18,2,6
15454,19,3,5
15455,20,4,4
15456,21,5,3
15461,17,1,7
15462,18,2,6
15463,19,3,5
15464,20,4,4
15465,21,5,3
15466,22,6,2
15511,13,5,3
15512,14,6,2
15513,15,7,1
15514,16,0,0
15515,17,1,7
15516,18,2,6
15521,14,6,2
15522,15,7,1
15523,16,0,0
15524,17,1,7
15525,18,2,6
15526,19,3,5
15531,15,7,1
15532,16,0,0
15533,17,1,7
15534,18,2,6
15535,19,3,5
15536,20,4,4
15541,16,0,0
15542,17,1,7
15543,18,2,6
15544,19,3,5
15545,20,4,4
15546,21,5,3
15551,17,1,7
15552,18,2,6
15553,19,3,5
15554,20,4,4
15555,21,5,3
15556,22,6,2
15561,18,2,6
15562,19,3,5
15563,20,4,4
15564,21,5,3
15565,22,6,2
15566,23,7,1
15611,14,6,2
15612,15,7,1
15613,16,0,0
15614,17,1,7
15615,18,2,6
15616,19,3,5
15621,15,7,1
15622,16,0,0
15623,17,1,7
15624,18,2,6
15625,19,3,5
15626,20,4,4
15631,16,0,0
15632,17,1,7
15633,18,2,6
15634,19,3,5
15635,20,4,4
15636,21,5,3
15641,17,1,7
15642,18,2,6
15643,19,3,5
15644,20,4,4
15645,21,5,3
15646,22,6,2
15651,18,2,6
15652,19,3,5
15653,20,4,4
15654,21,5,3
15655,22,6,2
15656,23,7,1
15661,19,3,5
15662,20,4,4
15663,21,5,3
15664,22,6,2
15665,23,7,1
15666,24,0,0
16111,10,2,6
16112,11,3,5
16113,12,4,4
16114,13,5,3
16115,14,6,2
16116,15,7,1
16121,11,3,5
16122,12,4,4
16123,13,5,3
16124,14,6,2
16125,15,7,1
16126,16,0,0
16131,12,4,4
16132,13,5,3
16133,14,6,2
16134,15,7,1
16135,16,0,0
16136,17,1,7
16141,13,5,3
16142,14,6,2
16143,15,7,1
16144,16,0,0
16145,17,1,7
16146,18,2,6
16151,14,6,2
16152,15,7,1
16153,16,0,0
16154,17,1,7
16155,18,2,6
16156,19,3,5
16161,15,7,1
16162,16,0,0
16163,17,1,7
16164,18,2,6
16165,19,3,5
16166,20,4,4
16211,11,3,5
16212,12,4,4
16213,13,5,3
16214,14,6,2
16215,15,7,1
16216,16,0,0
16221,12,4,4
16222,13,5,3
16223,14,6,2
16224,15,7,1
16225,16,0,0
16226,17,1,7
16231,13,5,3
16232,14,6,2
16233,15,7,1
16234,16,0,0
16235,17,1,7
16236,18,2,6
16241,14,6,2
16242,15,7,1
16243,16,0,0
16244,17,1,7
16245,18,2,6
16246,19,3,5
16251,15,7,1
16252,16,0,0
16253,17,1,7
16254,18,2,6
16255,19,3,5
16256,20,4,4
16261,16,0,0
16262,17,1,7
16263,18,2,6
16264,19,3,5
16265,20,4,4
16266,21,5,3
16311,12,4,4
16312,13,5,3
16313,14,6,2
16314,15,7,1
16315,16,0,0
16316,17,1,7
16321,13,5,3
16322,14,6,2
16323,15,7,1
16324,16,0,0
16325,17,1,7
16326,18,2,6
16331,14,6,2
16332,15,7,1
16333,16,0,0
16334,17,1,7
16335,18,2,6
16336,19,3,5
16341,15,7,1
16342,16,0,0
16343,17,1,7
16344,18,2,6
16345,19,3,5
16346,20,4,4
16351,16,0,0
16352,17,1,7
16353,18,2,6
16354,19,3,5
16355,20,4,4
16356,21,5,3
16361,17,1,7
16362,18,2,6
16363,19,3,5
16364,20,4,4
16365,21,5,3
16366,22,6,2
16411,13,5,3
16412,14,6,2
16413,15,7,1
16414,16,0,0
16415,17,1,7
16416,18,2,6
16421,14,6,2
16422,15,7,1
16423,16,0,0
16424,17,1,7
16425,18,2,6
16426,19,3,5
16431,15,7,1
16432,16,0,0
16433,17,1,7
16434,18,2,6
16435,19,3,5
16436,20,4,4
16441,16,0,0
16442,17,1,7
16443,18,2,6
16444,19,3,5
16445,20,4,4
16446,21,5,3
16451,17,1,7
16452,18,2,6
16453,19,3,5
16454,20,4,4
16455,21,5,3
16456,22,6,2
16461,18,2,6
16462,19,3,5
16463,20,4,4
16464,21,5,3
16465,22,6,2
16466,23,7,1
16511,14,6,2
16512,15,7,1
16513,16,0,0
16514,17,1,7
16515,18,2,6
16516,19,3,5
16521,15,7,1
16522,16,0,0
16523,17,1,7
16524,18,2,6
16525,19,3,5
16526,20,4,4
16531,16,0,0
16532,17,1,7
16533,18,2,6
16534,19,3,5
16535,20,4,4
16536,21,5,3
16541,17,1,7
16542,18,2,6
16543,19,3,5
16544,20,4,4
16545,21,5,3
16546,22,6,2
16551,18,2,6
16552,19,3,5
16553,20,4,4
16554,21,5,3
16555,22,6,2
16556,23,7,1
16561,19,3,5
16562,20,4,4
16563,21,5,3
16564,22,6,2
16565,23,7,1
16566,24,0,0
16611,15,7,1
16612,16,0,0
16613,17,1,7
16614,18,2,6
16615,19,3,5
16616,20,4,4
16621,16,0,0
16622,17,1,7
16623,18,2,6
16624,19,3,5
16625,20,4,4
16626,21,5,3
16631,17,1,7
16632,18,2,6
16633,19,3,5
16634,20,4,4
16635,21,5,3
16636,22,6,2
16641,18,2,6
16642,19,3,5
16643,20,4,4
16644,21,5,3
16645,22,6,2
16646,23,7,1
16651,19,3,5
16652,20,4,4
16653,21,5,3
16654,22,6,2
16655,23,7,1
16656,24,0,0
16661,20,4,4
16662,21,5,3
16663,22,6,2
16664,23,7,1
16665,24,0,0
16666,25,1,7
21111,6,6,2
21112,7,7,1
21113,8,0,0
21114,9,1,7
21115,10,2,6
21116,11,3,5
21121,7,7,1
21122,8,0,0
21123,9,1,7
21124,10,2,6
21125,11,3,5
21126,12,4,4
21131,8,0,0
21132,9,1,7
21133,10,2,6
21134,11,3,5
21135,12,4,4
21136,13,5,3
21141,9,1,7
21142,10,2,6
21143,11,3,5
21144,12,4,4
21145,13,5,3
21146,14,6,2
21151,10,2,6
21152,11,3,5
21153,12,4,4
21154,13,5,3
21155,14,6,2
21156,15,7,1
21161,11,3,5
21162,12,4,4
21163,13,5,3
21164,14,6,2
21165,15,7,1
21166,16,0,0
21211,7,7,1
21212,8,0,0
21213,9,1,7
21214,10,2,6
21215,11,3,5
21216,12,4,4
21221,8,0,0
21222,9,1,7
21223,10,2,6
21224,11,3,5
21225,12,4,4
21226,13,5,3
21231,9,1,7
21232,10,2,6
21233,11,3,5
21234,12,4,4
21235,13,5,3
21236,14,6,2
21241,10,2,6
21242,11,3,5
21243,12,4,4
21244,13,5,3
21245,14,6,2
21246,15,7,1
21251,11,3,5
21252,12,4,4
21253,13,5,3
21254,14,6,2
21255,15,7,1
21256,16,0,0
21261,12,4,4
21262,13,5,3
21263,14,6,2
21264,15,7,1
21265,16,0,0
21266,17,1,7
21311,8,0,0
21312,9,1,7
21313,10,2,6
21314,11,3,5
21315,12,4,4
21316,13,5,3
21321,9,1,7
21322,10,2,6
21323,11,3,5
21324,12,4,4
21325,13,5,3
21326,14,6,2
21331,10,2,6
21332,11,3,5
21333,12,4,4
21334,13,5,3
21335,14,6,2
21336,15,7,1
21341,11,3,5
21342,12,4,4
21343,13,5,3
21344,14,6,2
21345,15,7,1
21346,16,0,0
21351,12,4,4
21352,13,5,3
21353,14,6,2
21354,15,7,1
21355,16,0,0
21356,17,1,7
21361,13,5,3
21362,14,6,2
21363,15,7,1
21364,16,0,0
21365,17,1,7
21366,18,2,6
21411,9,1,7
21412,10,2,6
21413,11,3,5
21414,12,4,4
21415,13,5,3
21416,14,6,2
21421,10,2,6
21422,11,3,5
21423,12,4,4
21424,13,5,3
21425,14,6,2
21426,15,7,1
21431,11,3,5
21432,12,4,4
21433,13,5,3
21434,14,6,2
21435,15,7,1
21436,16,0,0
21441,12,4,4
21442,13,5,3
21443,14,6,2
21444,15,7,1
21445,16,0,0
21446,17,1,7
21451,13,5,3
21452,14,6,2
21453,15,7,1
21454,16,0,0
21455,17,1,7
21456,18,2,6
21461,14,6,2
21462,15,7,1
21463,16,0,0
21464,17,1,7
21465,18,2,6
21466,19,3,5
21511,10,2,6
21512,11,3,5
21513,12,4,4
21514,13,5,3
21515,14,6,2
21516,15,7,1
21521,11,3,5
21522,12,4,4
21523,13,5,3
21524,14,6,2
21525,15,7,1
21526,16,0,0
21531,12,4,4
21532,13,5,3
21533,14,6,2
21534,15,7,1
21535,16,0,0
21536,17,1,7
21541,13,5,3
21542,14,6,2
21543,15,7,1
21544,16,0,0
21545,17,1,7
21546,18,2,6
21551,14,6,2
21552,15,7,1
21553,16,0,0
21554,17,1,7
21555,18,2,6
21556,19,3,5
21561,15,7,1
21562,16,0,0
21563,17,1,7
21564,18,2,6
21565,19,3,5
21566,20,4,4
21611,11,3,5
21612,12,4,4
21613,13,5,3
21614,14,6,2
21615,15,7,1
21616,16,0,0
21621,12,4,4
21622,13,5,3
21623,14,6,2
21624,15,7,1
21625,16,0,0
21626,17,1,7
21631,13,5,3
21632,14,6,2
21633,15,7,1
21634,16,0,0
21635,17,1,7
21636,18,2,6
21641,14,6,2
21642,15,7,1
21643,16,0,0
21644,17,1,7
21645,18,2,6
21646,19,3,5
21651,15,7,1
21652,16,0,0
21653,17,1,7
21654,18,2,6
21655,19,3,5
21656,20,4,4
21661,16,0,0
21662,17,1,7
21663,18,2,6
21664,19,3,5
21665,20,4,4
21666,21,5,3
22111,7,7,1
